Generator,bus,carrier,p_nom,marginal_cost,gen_MWh,share_%
C.N Laguna verde,SIN,nuclear,1620.0,10.0,1469664.0,4.142125359444583
Manuel Moreno Torres (Chicoasen),SIN,hydro,2400.0,0.0,1212496.3472832,3.4173197875947614
C.C Altamira 5,SIN,gas_ccgt,1120.0,29.87,1068734.9860457457,3.0121403859832823
C.C Tamazunchale,SIN,gas_ccgt,1020.0,29.87,971777.547813395,2.738873936176387
C.C Escobedo,SIN,gas_ccgt,1000.0,29.87,929951.1006071013,2.620989584604423
C.C Dulces nombres 1,SIN,gas_ccgt,1008.0,29.87,910857.4608468813,2.567175754058865
C.C Pesqueria,SIN,gas_ccgt,966.0,29.87,905412.1500792804,2.5518286000015182
El carmen,SIN,gas_ccgt,857.0,29.87,788018.3439312992,2.220963952376432
C.T Manzanillo,SIN,hydro,1300.0,0.0,656768.8547784,1.8510482182804961
C.C San luis rio colorado,BCA,gas_ccgt,683.0,29.87,646961.6887376402,1.8234075390764635
C.T Altamira,SIN,gas_ccgt,665.0,29.87,635699.7986290286,1.7916668414652013
C.C Altamira 3,SIN,gas_ccgt,660.0,29.87,628881.0,1.7724486264703145
C.H El infiernito,SIN,hydro,1200.0,0.0,606248.1736416,1.7086598937973807
CENGEN CFE 17/Enero 2024,SIN,hydro,1080.0,0.0,545623.35627744,1.5377939044176427
Norte 3,SIN,gas_ccgt,906.0,29.87,526976.8950881523,1.4852404093629583
C.C Electrica el aguila,SIN,gas_ccgt,520.0,29.87,495886.8720340384,1.3976157734474282
C.H Aguamilpa,SIN,hydro,960.0,0.0,484998.5389132799,1.3669279150379046
El clerigo,SIN,gas_ccgt,500.0,29.87,475179.6321671392,1.3392541456353668
C.C Energia buena vista,SIN,gas_ccgt,540.0,29.87,468619.50463069766,1.3207649735321616
C.C Merida 3,SIN,gas_ccgt,484.0,29.87,463478.40000000014,1.3062751990895882
La angostura,SIN,hydro,900.0,0.0,454686.1302312,1.2814949203480357
C.C Altamira IV,SIN,gas_ccgt,460.0,29.87,438311.0,1.2353429820853707
C.C Rio Bravo 4,SIN,gas_ccgt,512.0,29.87,436788.4496383866,1.2310518009284053
C.C Rio Bravo 3,SIN,gas_ccgt,512.0,29.87,428490.9586599738,1.2076660149246343
C.C El encino,SIN,gas_ccgt,619.0,29.87,422356.01543103525,1.190375189315965
C.C Rio Bravo 2,SIN,gas_ccgt,511.0,29.87,412649.31622537214,1.1630176675039876
C.C Topolobampo 3,SIN,gas_ccgt,790.83,29.87,400749.41105322714,1.1294787776703064
C.C Huinala 2,SIN,gas_ccgt,450.0,29.87,398722.86753241543,1.1237671338458866
C.C La laguna (Ibedrola),SIN,gas_ccgt,510.0,29.87,384503.3357843475,1.083690570050965
C.H La yesca,SIN,hydro,750.0,0.0,378905.10852599994,1.0679124336233627
C.H El cajon,SIN,hydro,750.0,0.0,378905.10852599994,1.0679124336233627
C.C Topolobampo 2,SIN,gas_ccgt,887.34,29.87,374493.5851974771,1.055478923206794
Rio escondido,SIN,hydro,724.0,0.0,365769.731430432,1.030891469257753
C.C Norte durango,SIN,gas_ccgt,450.0,29.87,350183.7092980051,0.9869635663305603
Cogeneracion de altamira,SIN,chp,350.0,29.87,335160.0,0.9446204952094126
C.C Gonzales ortega,BCA,gas_ccgt,683.0,29.87,310059.68729497836,0.8738773581485203
C.C Norte 2,SIN,gas_ccgt,433.0,29.87,310053.2734531247,0.8738592812704084
C.C Dulces nombres 2,SIN,gas_ccgt,338.0,29.87,309213.7509932925,0.8714931572647212
C.H El caracol,SIN,hydro,600.0,0.0,303124.0868208,0.8543299468986904
Empalme ciclo combinado 2,SIN,gas_ccgt,807.241,29.87,290040.64925350493,0.8174553697598324
CENGEN 54,SIN,gas_ccgt,300.0,29.87,284669.00860447896,0.8023158487848653
Central C.C Saltillo,SIN,gas_ccgt,297.0,29.87,280963.0816336939,0.7918710028296412
C.C Huinala 1,SIN,gas_ccgt,300.0,29.87,263885.1319383595,0.7437382265485569
C.C Campeche,SIN,gas_ccgt,252.4,29.87,241698.24000000008,0.6812063228310167
Empalme ciclo combinado 1,SIN,gas_ccgt,783.57,29.87,236320.11572134309,0.6660485282869102
CENGEN 48__1,SIN,gas_ccgt,250.0,29.87,222858.00979827493,0.6281067059823088
C.C Salamayuca 2,SIN,gas_ccgt,348.0,29.87,217706.16731590178,0.6135866678007231
"Central Luis donaldo colosio murrieta ""huites""",SIN,hydro,422.0,0.0,213197.27439729596,0.6008787293187455
Peñitas,SIN,hydro,420.0,0.0,212186.86077456002,0.5980309628290833
Cerro prieto dos,BCA,geothermal,220.0,0.0,210672.0,0.5937614541316308
Cerro prieto tres,BCA,geothermal,220.0,0.0,210672.0,0.5937614541316308
CENGEN 44,SIN,gas_ccgt,198.0,29.87,187911.89999999994,0.5296140113191955
Parque eolico reynosa 3,SIN,onwind,431.0,0.0,184807.428450448,0.520864317284999
Enertek,SIN,gas_ccgt,188.0,29.87,180028.79999999993,0.5073961517124843
C.C Chihuahua 3,SIN,gas_ccgt,268.0,29.87,173712.18836438537,0.48959330885749036
P.E Energia eolica del sur,SIN,onwind,396.0,0.0,169799.864655168,0.4785667509161476
C.C Manzanillo,SIN,gas_ccgt,1460.0,29.87,164147.99909955641,0.46263743942313285
C.C Gomez palacios,SIN,gas_ccgt,220.0,29.87,161937.7986117606,0.45640817376107956
C.H La villita,SIN,hydro,320.0,0.0,161666.17963776,0.4556426383459683
RM U1 Feb-20,SIN,gas_ccgt,165.0,29.87,158004.0,0.4453210905987231
Tierra Mojada,SIN,gas_ccgt,874.0,29.87,148878.56224542813,0.4196018056878556
C.H Zimapan,SIN,hydro,292.0,0.0,147520.388919456,0.415773907490696
Generadora electrica de huinala,SIN,gas_ccgt,143.0,29.87,135517.5375885826,0.3819448724981713
Mesa la paz,SIN,onwind,300.0,0.0,128636.2611024,0.36255056887586945
CE GEN 52,SIN,onwind,300.0,0.0,128636.2611024,0.36255056887586945
PEMEX__1,SIN,chp,128.0,29.87,122572.79999999996,0.34546120967658506
C.H Agua prieta,SIN,hydro,240.0,0.0,121249.63472831997,0.34173197875947614
AHMSA,SIN,chp,135.0,29.87,118246.5,0.33326789410066776
C.C La caridad generacion,SIN,gas_ccgt,525.0,29.87,117822.57396540495,0.3320730939433359
Parque eolico dolores,SIN,onwind,269.0,0.0,115343.84745515199,0.32508701009202956
CENGEN 61,SIN,onwind,252.0,0.0,108054.45932601602,0.30454247785573035
P.E Eurus,SIN,onwind,250.5,0.0,107411.27802051249,0.30272972501137485
El mezquite,SIN,onwind,250.0,0.0,107196.884252,0.30212547406322454
Deacero power,SIN,chp,112.0,29.87,105694.05103434915,0.2978898640313755
Energia limpia la amistad,SIN,hydro,200.0,0.0,101041.3622736,0.2847766489662301
T.C Punta prieta 2,BCS,steam_other,112.5,40.8,97383.727420904,0.27446791031648404
Cerro prieto cuatro,BCA,geothermal,100.0,0.0,95760.0,0.26989157005983216
CENGEN 26,SIN,geothermal,100.0,0.0,95760.0,0.26989157005983216
CENGEN 35,BCS,steam_other,100.0,40.8,95690.35211282701,0.26969527330105536
Salamanca P.V,SIN,solar,550.0,0.0,92095.211538,0.2595626695591394
Electrcidad sol de tuxpan,SIN,solar,547.0,0.0,91592.87402052,0.25814687317972596
CENGEN CFE10,SIN,solar,521.0,0.0,87239.28220236,0.2458766378914757
Energia limpia de palo alto,SIN,onwind,200.0,0.0,85757.5074016,0.2417003792505796
Central eolica coahuila,SIN,onwind,200.0,0.0,85757.5074016,0.2417003792505796
P.E Dominicana,SIN,onwind,200.0,0.0,85757.5074016,0.2417003792505796
Temascal 1 - 115,SIN,hydro,154.0,0.0,77801.848950672,0.21927801970399724
Energia limpia la amistad IV,SIN,hydro,150.0,0.0,75781.0217052,0.2135824867246726
PEMEX refinacion,SIN,chp,79.0,29.87,74899.89999999998,0.21109911871683812
CEAUT 24,SIN,onwind,172.0,0.0,73751.456365376,0.20786232615549843
Fuerza y energia hermosillo,SIN,gas_ccgt,279.0,29.87,73420.96468706324,0.20693086293545315
Parque eolico el cortijo,SIN,onwind,168.0,0.0,72036.306217344,0.20302831857048684
Central turbogas los cabos,BCS,gas_ocgt,158.7,43.16,69226.6070501304,0.1951094159009476
P.E Eoliatec del pacifico,SIN,onwind,160.0,0.0,68606.00592128,0.19336030340046367
Central Agua prieta 2,SIN,solar,409.1,0.0,68502.0928003606,0.19306743293936557
"Central plutarco elias calles ""El novillo""",SIN,hydro,135.0,0.0,68202.91953468,0.19222423805220534
CENGEN 60,SIN,solar,400.0,0.0,66978.335664,0.18877285058846505
C.C Ibedrola cogeneracion ramos,SIN,gas_ccgt,67.0,29.87,63329.79474466406,0.1784897424311225
P.E Bii stinu 2,SIN,onwind,142.0,0.0,60887.830255135996,0.1716072692679115
Fuerza y energia naco-nogales + AUT,SIN,gas_ccgt,308.0,29.87,60739.14742795349,0.17118821912516693
D.E.M de oaxaca 2,SIN,onwind,138.0,0.0,59172.680107104,0.16677326168289994
Santa Amalia Tamaulipas,SIN,chp,61.0,29.87,58413.60000000002,0.1646338577364977
Pier IV,SIN,onwind,134.0,0.0,57457.529959071995,0.1619392540978883
C.C Hermosillo,SIN,gas_ccgt,227.022,29.87,56512.530007659836,0.15927585058292287
CENGEN 57,SIN,solar,330.0,0.0,55257.1269228,0.15573760173548365
Villanueva solar 3,SIN,solar,330.0,0.0,55257.1269228,0.15573760173548365
Trompezon,SIN,onwind,126.0,0.0,54027.22966300801,0.15227123892786518
Ventika 1,SIN,onwind,126.0,0.0,54027.22966300801,0.15227123892786518
Ventika 2,SIN,onwind,126.0,0.0,54027.22966300801,0.15227123892786518
CENGEN 23,SIN,gas_ccgt,80.0,29.87,52615.77765310762,0.1482931792054746
P.E Bii Hioxo Norte,SIN,onwind,120.0,0.0,51454.504440959994,0.14502022755034774
Eolica Vicente guerrero,SIN,onwind,118.0,0.0,50596.92936694401,0.14260322375784198
C.H Comedero,SIN,hydro,100.0,0.0,50520.6811368,0.14238832448311506
CENGEN 56,SIN,solar,300.0,0.0,50233.751748,0.14157963794134878
Pachamama,SIN,solar,300.0,0.0,50233.751748,0.14157963794134878
Potosi solar,SIN,solar,300.0,0.0,50233.751748,0.14157963794134878
CEAUT 18,SIN,onwind,117.0,0.0,50168.141829935994,0.14139472186158905
Energia limpia la amistad 3,SIN,hydro,99.0,0.0,50015.474325432006,0.14096444123828394
Humeros 3,SIN,geothermal,52.0,0.0,49795.19999999998,0.14034361643111268
P.E Bii Hioxo Sur,SIN,onwind,114.0,0.0,48881.779218912,0.1377692161728304
Azufres T59,SIN,geothermal,50.0,0.0,47880.0,0.13494578502991608
Azufres F52,SIN,geothermal,50.0,0.0,47880.0,0.13494578502991608
CEAUT 7,SIN,chp,50.0,29.87,47111.92532477401,0.13278103064374297
C.H Bacurato,SIN,hydro,92.0,0.0,46479.02664585601,0.1309972585244659
C.H Humaya,SIN,hydro,90.0,0.0,45468.61302311999,0.12814949203480355
Eolica Santiago,SIN,onwind,106.0,0.0,45451.47892284799,0.12810120100280717
Potreros solar,SIN,solar,270.0,0.0,45210.3765732,0.12742167414721392
P.E La venta 3,SIN,onwind,102.9,0.0,44122.237558123205,0.12435484512442323
P.E Oaxaca IV,SIN,onwind,102.0,0.0,43736.32877481599,0.12326719341779557
P.E Oaxaca 2,SIN,onwind,102.0,0.0,43736.32877481599,0.12326719341779557
P.E de oaxaca 3,SIN,onwind,102.0,0.0,43736.32877481599,0.12326719341779557
P.E Sureste 1 Fase 2,SIN,onwind,102.0,0.0,43736.32877481599,0.12326719341779557
P.E Oaxaca 1,SIN,onwind,102.0,0.0,43736.32877481599,0.12326719341779557
Givaudan,SIN,solar,258.0,0.0,43201.02650328,0.12175848862955996
Vientos del altiplano,SIN,onwind,100.0,0.0,42878.7537008,0.1208501896252898
CE GEN 38,SIN,onwind,100.0,0.0,42878.7537008,0.1208501896252898
Viborillas park,SIN,onwind,100.0,0.0,42878.7537008,0.1208501896252898
Ingenio san miguel el naranjo,SIN,biomass,50.0,0.0,42840.0,0.12074096555308282
P.E de mexico,SIN,onwind,99.9,0.0,42835.874947099204,0.12072933943566452
